JS591_exc370_20nm slit each_slow,,
Wavelength (nm),Intensity (a.u.),
390,172.9657898,
391.0700073,131.8113098,
392,104.7666473,
393.0700073,78.96318817,
394,61.41713715,
395.0700073,44.48936081,
396,30.86676216,
397.0700073,21.41511154,
398,16.13733101,
399.0700073,12.22663593,
400,10.32666683,
401.0599976,8.947639465,
401.9599915,8.235590935,
403.0299988,7.987753391,
403.9299927,8.132468224,
405,8.428359985,
406.0599976,8.79054451,
406.9599915,9.347736359,
408.0299988,10.22797203,
408.9299927,10.82593536,
410,11.77051163,
411.0700073,12.50670433,
412,13.18153381,
413.0700073,14.24862099,
414,15.09038734,
415.0700073,15.88735771,
416,16.80863571,
417.0700073,17.46839142,
418,18.37124825,
419.0700073,19.13290596,
420,19.90237236,
421.0599976,20.54704857,
421.9599915,20.99636078,
423.0299988,21.36785698,
423.9299927,21.87186432,
425,21.92088127,
426.0599976,21.8315239,
426.9599915,21.75810051,
428.0299988,21.62356377,
428.9299927,21.57517624,
430,21.24942589,
431.0700073,20.69539642,
432,20.30601501,
433.0700073,19.73598862,
434,19.07892227,
435.0700073,18.77253342,
436,17.7592926,
437.0700073,17.17926979,
438,16.75556374,
439.0700073,16.04133415,
440,15.51228523,
441.0599976,14.97771454,
441.9599915,14.30465603,
443.0299988,13.65592861,
443.9299927,13.27523136,
445,12.74113369,
446.0599976,12.57365131,
446.9599915,12.10652733,
448.0299988,11.73494625,
448.9299927,11.53280544,
450,11.41712189,
451.0599976,11.07104206,
451.9599915,10.97160625,
453.0299988,10.98621845,
453.9299927,10.78479099,
455,10.91509724,
456.0599976,10.74037743,
456.9599915,10.76644516,
458.0299988,10.78720093,
458.9299927,10.88361549,
460,10.89625072,
461.0599976,11.04168606,
461.9599915,11.09067154,
463.0299988,11.30251312,
463.9299927,11.43353844,
465,11.65219498,
466.0599976,11.90237141,
466.9599915,12.04969597,
468.0299988,12.28801823,
468.9299927,12.62904835,
470,13.016325,
471.0599976,13.29045773,
471.9599915,13.61210918,
473.0299988,14.12324524,
473.9299927,14.41855431,
475,14.98144245,
476.0599976,15.3674202,
476.9599915,15.5983057,
478.0299988,16.05827332,
478.9299927,16.55278778,
480,17.08298302,
481.0400085,17.48979378,
481.9400024,17.77657509,
482.980011,18.21273613,
484.019989,18.44130707,
485.0700073,18.96951675,
485.9700012,19.37751007,
487.0100098,19.46657181,
488.0499878,19.80375481,
488.9500122,19.73436165,
490,20.08687782,
491.0599976,20.17381668,
491.9599915,20.15493202,
493.0299988,20.28333664,
493.9299927,20.43785286,
495,20.38347054,
496.0599976,20.46159554,
496.9599915,20.38143158,
498.0299988,20.30215645,
498.9299927,20.38245964,
500,20.18483925,
501.0400085,20.19956017,
501.9400024,20.18026543,
502.980011,20.12731552,
504.019989,19.82625008,
505.0700073,19.89284706,
505.9700012,19.71862793,
507.0100098,19.701437,
508.0499878,19.593256,
508.9500122,19.37326622,
510,19.39211655,
511.0599976,19.22220802,
511.9599915,19.10793877,
513.0300293,18.81514359,
513.9299927,18.56563568,
515,18.63061523,
516.0599976,18.39138031,
516.960022,18.24585342,
518.0300293,18.00787354,
518.9299927,17.65618515,
520,17.67901611,
521.039978,17.376791,
521.9400024,16.95305824,
522.9799805,16.88305092,
524.0200195,16.55606842,
525.0700073,16.18985367,
525.9699707,15.96479702,
527.0100098,15.72946072,
528.0499878,15.28032398,
528.9500122,15.12983036,
530,14.72809029,
531.039978,14.50586319,
531.9400024,14.27941799,
532.9799805,14.0015564,
534.0200195,13.67392159,
535.0700073,13.37028408,
535.9699707,13.00924683,
537.0100098,12.85496521,
538.0499878,12.56686878,
538.9500122,12.43087578,
540,12.09236813,
541.039978,11.85468674,
541.9400024,11.73955154,
542.9799805,11.48754883,
544.0200195,11.24128151,
545.0700073,10.98761559,
545.9699707,10.84437275,
547.0100098,10.4719696,
548.0499878,10.35266495,
548.9500122,10.05508327,
550,9.991511345,
551.0200195,9.736976624,
552.0499878,9.618591309,
552.9400024,9.449075699,
553.9699707,9.018380165,
555,9.070261955,
556.0200195,8.842170715,
557.0499878,8.743429184,
557.9400024,8.628138542,
558.9699707,8.42181015,
560,8.265627861,
561.039978,8.062970161,
561.9400024,7.919203281,
562.9799805,7.564415455,
564.0200195,7.660457611,
565.0700073,7.561108589,
565.9699707,7.497825623,
567.0100098,7.370402336,
568.0499878,7.269359112,
568.9500122,7.106483459,
570,7.012449741,
571.0200195,6.80378437,
572.0499878,6.682875156,
572.9400024,6.700085163,
573.9699707,6.516749859,
575,6.55863905,
576.0200195,6.324328899,
577.0499878,6.32490015,
577.9400024,6.270082474,
578.9699707,6.123242378,
580,6.076273918,
581.0200195,5.91560173,
582.0499878,5.857728481,
582.9400024,5.766640186,
583.9699707,5.603664398,
585,5.576975346,
586.0200195,5.48661375,
587.0499878,5.41306591,
587.9400024,5.357392788,
588.9699707,5.276135445,
590,5.199530602,
591.0200195,5.19559288,
592.0499878,5.120879173,
592.9400024,5.066757679,
593.9699707,4.928362846,
595,4.959263802,
596.0200195,4.867378712,
597.0499878,4.814071178,
597.9400024,4.741922379,
598.9699707,4.683982372,
600,4.605459213,
601.0200195,4.565215111,
602.0499878,4.641815186,
602.9400024,4.537554264,
603.9699707,4.488274574,
605,4.432806969,
606.0200195,4.410727978,
607.0499878,4.296452999,
607.9400024,4.24638319,
608.9699707,4.145778179,
610,4.243992805,
611.0100098,4.157089233,
612.0200195,4.044128418,
613.039978,4.031876087,
614.0499878,3.977732658,
615.0700073,4.025210381,
615.9400024,3.962747812,
616.9500122,3.880124807,
617.9699707,3.805161238,
618.9799805,3.706428289,
620,3.710950613,
621.0200195,3.641465664,
622.0499878,3.61578083,
622.9400024,3.533496857,
623.9699707,3.511713028,
625,3.466551542,
626.0200195,3.432750702,
627.0499878,3.391614199,
627.9400024,3.311969995,
628.9699707,3.335917234,
630,3.234544039,
631.0100098,3.300699949,
632.0200195,3.29700017,
633.039978,3.237168789,
634.0499878,3.196937561,
635.0700073,3.167484999,
635.9400024,3.147745371,
636.9500122,3.073526382,
637.9699707,3.077842712,
638.9799805,3.032351255,
640,3.005035162,
641.0100098,2.964626312,
642.0200195,2.912518263,
643.039978,2.89964962,
644.0499878,2.913791895,
645.0700073,2.8490839,
645.9400024,2.790213823,
646.9500122,2.739720583,
647.9699707,2.787806511,
648.9799805,2.827511549,
650,2.631336212,
651.0100098,2.63941431,
652.0200195,2.693556309,
653.039978,2.590352058,
654.0499878,2.644085407,
655.0700073,2.56958437,
655.9400024,2.48829484,
656.9500122,2.474307299,
657.9699707,2.472257614,
658.9799805,2.501214981,
660,2.402940989,
661,2.396999836,
662,2.38774848,
663,2.426189184,
664,2.3539083,
665,2.281276464,
666,2.231949329,
667,2.307026148,
668,2.170388699,
669,2.235767841,
670,2.179052114,
671.0100098,2.179414272,
672.0200195,2.182318687,
673.039978,2.146549225,
674.0499878,2.067370653,
675.0700073,2.161690474,
675.9400024,2.038971424,
676.9500122,2.052109718,
677.9699707,2.032466888,
678.9799805,2.013252974,
680,1.977165699,
681,1.967816591,
682,1.933385015,
683,1.928836107,
684,2.035947561,
685,1.916401148,
686,1.969494104,
687,1.975146413,
688,1.962628722,
689,1.995535374,
690,1.920995951,
691,1.989788175,
692,1.988196015,
693,2.024684191,
694,2.114358664,
695,2.097196341,
696,2.070766687,
697,2.137891054,
698,2.259447813,
699,2.266858578,
700,2.4875772,

JS591_exc370_20nm slit each_slow,
JS591_exc370_20nm slit each_slow
Collection Time: 24/01/2020 09:30:37
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          FL1004M011
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        390.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               370.00
Ex. Slit (nm)                     20
Em. Slit (nm)                     20
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : E:\Fluoreszenz\Jacob Schneidewind\JS591_exc370_20nm slit each.FBSW
Date/Time stamp: 24/01/2020 09:29:32
Method Modifications:
Scan Control Changed: 24/01/2020 09:24:27, Old:Medium, New:Fast
Excitation Wavelength Changed: 24/01/2020 09:24:27, Old: 350.00, New: 370.00
Data interval: Changed: 24/01/2020 09:24:27, Old:   1.00, New:   2.00
Emission Wavelength Changed: 24/01/2020 09:24:27, Old: 400.00, New: 390.00
Stop Wavelength Changed: 24/01/2020 09:24:27, Old: 600.00, New: 700.00
Ex. Slit Width (nm): Changed: 24/01/2020 09:26:05, Old:5, New:20
Em. Slit Width (nm): Changed: 24/01/2020 09:26:05, Old:5, New:20
Scan Control Changed: 24/01/2020 09:30:25, Old:Fast, New:Slow
Ave. time (s): Changed: 24/01/2020 09:30:25, Old:0.10000, New:0.50000
Data interval: Changed: 24/01/2020 09:30:25, Old:   2.00, New:   1.00
End Method Modifications

